original_eoa,total_created_contracts,max_depth
0x7e1e3334130355799f833ffec2d731bca3e68af6,10345663,2
0x470f1c3217a2f408769bca5ab8a5c67a9040664a,6606546,2
0x0cf83143f0ab9d6e178fc7f141205ec2992266c8,4640724,2
0xc73fc08c931efe3fce850c09278472e8a81c2e05,4083048,2
0xffff46e05a09314daae9176fc32dba0f4172dcdb,2746584,3
0x175e8ca2a7ad4f205688a6896daa572733e0b6e1,2204865,2
0xd7879a38dc8cca193e1aee8f569acf4872693a95,1753893,2
0xf8929d90db92986660526fd006a7195219ed2383,1586363,2
0x0084a81668b9a978416abeb88bc1572816cc7cac,1548397,3
0x9c79dc0edd49caa9da6b704339dacedb45acbe3f,1246687,2
0x1ff21eca1c3ba96ed53783ab9c92ffbf77862584,1213835,2
0xf7aba9b064a12330a00eafaa930e2fe8e76e65f0,1191991,2
0x2666de46aa6879af3ac7f5e091fdd0c9a34e66e3,1049388,2
0x957aacab066b0c79fa4d1720d33b31ad645ef3a0,1038028,2
0xb5f84807633600d3af4d922486e0adf9fa5f6359,952868,2
